"Date","Price","Open","High","Low","Vol.","Change %"
"03/30/2020","33,990.3","33,990.3","35,186.7","33,990.3","1.37M","-6.94%"
"03/27/2020","36,523.8","38,072.0","38,353.5","35,960.8","1.25M","-3.53%"
"03/26/2020","37,860.8","38,705.3","39,690.6","37,860.8","1.46M","-2.00%"
"03/25/2020","38,635.0","37,931.2","38,635.0","37,297.9","1.59M","6.81%"
"03/24/2020","36,171.9","36,242.3","36,946.0","35,397.8","1.10M","0.39%"
"03/23/2020","36,031.1","37,297.9","37,297.9","36,031.1","1.24M","-6.91%"
"03/20/2020","38,705.3","38,001.6","38,775.7","37,579.4","1.08M","1.10%"
"03/19/2020","38,283.1","39,760.9","39,760.9","38,001.6","622.96K","-5.23%"
"03/18/2020","40,394.3","40,112.8","41,168.4","40,112.8","1.04M","0.70%"
"03/17/2020","40,112.8","37,509.0","40,112.8","37,509.0","1.65M","-0.52%"
"03/16/2020","40,323.9","42,575.9","42,575.9","40,323.9","1.20M","-6.98%"
"03/13/2020","43,350.0","41,801.8","44,124.1","41,801.8","2.07M","-3.45%"
"03/12/2020","44,898.2","44,898.2","45,038.9","44,898.2","688.44K","-7.00%"
"03/11/2020","48,276.1","52,428.1","52,428.1","48,276.1","1.61M","-6.92%"
"03/10/2020","51,865.1","49,965.1","52,991.1","49,965.1","871.29K","-1.86%"
"03/09/2020","52,850.4","52,920.7","54,891.2","52,850.4","1.49M","-6.94%"
"03/06/2020","56,791.3","57,354.3","57,495.0","56,439.4","776.21K","-1.22%"
"03/05/2020","57,495.0","58,128.4","58,198.7","57,495.0","424.60K","-0.61%"
"03/04/2020","57,846.9","57,565.4","57,846.9","57,424.6","350.97K","0.24%"
"03/03/2020","57,706.1","58,128.4","58,128.4","57,424.6","520.21K","0.49%"
"03/02/2020","57,424.6","57,495.0","57,987.6","57,283.9","600.16K","-0.12%"
"02/28/2020","57,495.0","57,706.1","58,058.0","57,424.6","607.85K","-2.16%"
"02/27/2020","58,761.7","58,409.9","58,832.1","58,269.1","474.00K","0.60%"
"02/26/2020","58,409.9","57,706.1","58,972.8","57,565.4","802.99K","0.00%"
"02/25/2020","58,409.9","57,002.4","58,409.9","57,002.4","1.03M","2.22%"
"02/24/2020","57,143.1","57,776.5","58,198.7","57,143.1","1.49M","-3.10%"
"02/21/2020","58,972.8","59,958.1","60,169.2","58,761.7","909.37K","-1.76%"
"02/20/2020","60,028.4","60,802.6","60,802.6","59,606.2","586.57K","-0.23%"
"02/19/2020","60,169.2","58,902.5","60,169.2","58,902.5","923.27K","2.15%"
"02/18/2020","58,902.5","58,128.4","59,324.7","57,987.6","879.85K","1.58%"
"02/17/2020","57,987.6","58,058.0","58,409.9","57,846.9","457.63K","-0.36%"
"02/14/2020","58,198.7","58,058.0","58,269.1","57,846.9","396.25K","0.24%"
"02/13/2020","58,058.0","58,058.0","58,409.9","57,635.8","512.93K","0.00%"
"02/12/2020","58,058.0","57,846.9","59,043.2","57,495.0","830.15K","1.23%"
"02/11/2020","57,354.3","57,706.1","57,846.9","57,354.3","540.33K","0.00%"
"02/10/2020","57,354.3","57,706.1","57,987.6","57,002.4","740.60K","-1.33%"
"02/07/2020","58,128.4","59,113.6","59,113.6","57,917.2","1.00M","-1.55%"
"02/06/2020","59,043.2","58,198.7","59,113.6","58,128.4","782.45K","1.45%"
"02/05/2020","58,198.7","59,324.7","59,747.0","58,128.4","865.15K","-1.55%"
"02/04/2020","59,113.6","58,409.9","59,395.1","58,058.0","1.08M","1.45%"
"02/03/2020","58,269.1","56,298.7","59,113.6","56,017.2","1.91M","-1.78%"
"01/31/2020","59,324.7","61,224.8","62,139.6","59,113.6","2.78M","-3.88%"
"01/30/2020","61,717.4","63,758.2","63,899.0","59,958.1","1.73M","-3.94%"
"01/22/2020","64,250.8","64,039.7","64,673.1","63,617.5","937.05K","0.33%"
"01/21/2020","64,039.7","65,025.0","65,095.3","64,039.7","829.89K","-1.09%"
"01/20/2020","64,743.5","64,039.7","65,025.0","64,039.7","1.09M","1.43%"
"01/17/2020","63,828.6","63,336.0","63,969.4","63,124.9","984.32K","0.89%"
"01/16/2020","63,265.6","63,547.1","63,758.2","63,054.5","839.05K","-0.11%"
"01/15/2020","63,336.0","62,350.8","63,758.2","62,280.4","1.57M","1.24%"
"01/14/2020","62,561.9","62,561.9","62,632.3","62,210.0","580.75K","-0.11%"
